datetime,high,low,open,close,volume,symbol
1654697700000,117.55,117.36242,117.36242,117.55,48600,GOOG
1654697760000,117.4,117.35,117.3755,117.355,18420,GOOG
1654697820000,117.42425,117.279,117.33625,117.42425,47600,GOOG
1654697880000,117.415,117.407,117.409,117.407,34200,GOOG
1654697940000,117.6515,117.4075,117.4075,117.6515,62180,GOOG
1654698000000,117.7475,117.590815,117.636,117.7475,42000,GOOG
1654698060000,117.94,117.7205,117.7205,117.94,64000,GOOG
1654698120000,117.9115,117.8005,117.8645,117.866,23200,GOOG
1654698180000,117.94,117.807,117.863,117.8865,40580,GOOG
1654698240000,118.015875,117.87425,117.946,118.015875,24200,GOOG
1654698300000,118.045,117.859,118.045,117.886005,51100,GOOG
1654698360000,117.9995,117.940125,117.9595,117.9735,44000,GOOG
1654698420000,118.105,118.0125,118.044,118.105,36920,GOOG
1654698480000,118.1285,117.93,118.105,117.98275,45180,GOOG
1654698540000,118.0265,117.905,117.931505,117.93825,54800,GOOG
1654698600000,118.142,117.92025,117.93825,118.142,43580,GOOG
1654698660000,118.19256,118.12925,118.142,118.175,27440,GOOG
1654698720000,118.2355,118.0235,118.2355,118.1125,52080,GOOG
1654698780000,118.1505,118.1225,118.1225,118.1505,8000,GOOG
1654698840000,118.1855,118.128,118.1495,118.1645,25440,GOOG
1654698900000,118.225,118.1345,118.1645,118.214,83520,GOOG
1654698960000,118.325,118.1995,118.2135,118.2675,52120,GOOG
1654699020000,118.30875,118.0675,118.30875,118.0775,55340,GOOG
1654699080000,118.0645,117.9595,118.0645,117.9605,35180,GOOG
1654699140000,118.002,117.95925,117.95925,118.0005,9600,GOOG
1654699200000,117.9255,117.78725,117.9255,117.817,37600,GOOG
1654699260000,118.082495,117.97795,118.0025,117.97795,23680,GOOG
1654699320000,117.9665,117.82,117.9665,117.82,15360,GOOG
1654699380000,117.84075,117.5705,117.84075,117.697,41200,GOOG
1654699440000,117.874375,117.72025,117.72025,117.874375,9200,GOOG
1654699500000,117.93275,117.875,117.894,117.93275,17200,GOOG
1654699560000,118.01,117.9725,117.9725,117.97275,31600,GOOG
1654699620000,118.0125,117.886,118.0125,117.9185,32000,GOOG
1654699680000,117.8895,117.84675,117.8895,117.8585,11600,GOOG
1654699740000,117.82975,117.7595,117.82975,117.7595,17600,GOOG
1654699800000,117.914995,117.755,117.8215,117.914995,54000,GOOG
1654699860000,117.8775,117.785,117.785,117.8775,6260,GOOG
1654699920000,117.8775,117.8145,117.8775,117.84875,11600,GOOG
1654699980000,117.8485,117.824,117.8485,117.824,5600,GOOG
1654700040000,117.806,117.768,117.77825,117.77825,25600,GOOG
1654700100000,117.76239,117.601,117.76239,117.601,12420,GOOG
1654700160000,117.595,117.54822,117.5525,117.595,7600,GOOG
1654700220000,117.63219,117.604,117.6145,117.63219,11200,GOOG
1654700280000,117.636,117.5,117.636,117.5,16000,GOOG
1654700340000,117.5545,117.48575,117.48575,117.5545,19200,GOOG
1654700400000,117.5325,117.478,117.52975,117.5325,6000,GOOG
1654700460000,117.4755,117.395,117.4755,117.395,15460,GOOG
1654700520000,117.583,117.455,117.455,117.5485,17600,GOOG
1654700580000,117.4675,117.4245,117.4245,117.46675,19100,GOOG
1654700640000,117.5865,117.34837,117.5105,117.5865,31600,GOOG
1654700700000,117.6655,117.5145,117.61,117.644,30000,GOOG
1654700760000,117.858,117.7465,117.8225,117.7815,27260,GOOG
1654700820000,117.9,117.772,117.772,117.8405,18000,GOOG
1654700880000,117.87,117.81275,117.87,117.81275,6180,GOOG
1654700940000,117.815,117.773,117.815,117.773,9480,GOOG
1654701000000,117.7335,117.617825,117.639,117.7335,9060,GOOG
